,ASV_1,ASV_2,ASV_3,ASV_4,ASV_5,ASV_6,ASV_7,ASV_8,ASV_9,ASV_10,ASV_11,ASV_12,ASV_13,ASV_14,ASV_15,ASV_16,ASV_17,ASV_18,ASV_19,ASV_20,ASV_21,ASV_22,ASV_23,ASV_24,ASV_25,ASV_26,ASV_27,ASV_28,ASV_29,ASV_30,ASV_31,ASV_32,ASV_33,ASV_34,ASV_35,ASV_36,ASV_37,ASV_38,ASV_39,ASV_40,ASV_41,ASV_42,ASV_43,ASV_44,ASV_45,ASV_46,ASV_47,ASV_48,ASV_49,ASV_50,ASV_51,ASV_52,ASV_53,ASV_54,ASV_55,ASV_56,ASV_57,ASV_58,ASV_59,ASV_60,ASV_61,ASV_62,ASV_63,ASV_64,ASV_65,ASV_66,ASV_67,ASV_68,ASV_69,ASV_70,ASV_71,ASV_72,ASV_73,ASV_74,ASV_75,ASV_76,ASV_77,ASV_78,ASV_79,ASV_80,ASV_81,ASV_82,ASV_83,ASV_84,ASV_85,ASV_86,ASV_87,ASV_88,ASV_89,ASV_90,ASV_91,ASV_92,ASV_93,ASV_94,ASV_95,ASV_96,ASV_97,ASV_98,ASV_99,ASV_100,ASV_101,ASV_102,ASV_103,ASV_104,ASV_105,ASV_106,ASV_107
DC02_R1_trimmed.fastq,0,0,0,0,0,0,0,386,2025,2872,462,681,1081,733,1800,920,0,2045,0,0,971,394,0,0,0,0,0,426,67,0,0,0,0,990,0,948,0,0,0,799,0,0,615,0,0,0,0,0,0,0,514,503,483,289,469,0,440,432,0,221,168,0,91,0,0,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,86,0,0,0,0,0,36,0
DC05_R1_trimmed.fastq,7046,4134,9697,0,0,0,0,0,0,0,0,1636,0,936,0,0,0,0,0,0,0,0,602,0,842,0,0,730,0,0,0,0,0,0,0,0,0,0,0,0,0,216,0,601,0,431,0,0,530,518,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,307,0,0,0,258,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,120,118,0,111,107,106,0,0,0,0,0,0,0,59,0,0,0,0
DC04_R1_trimmed.fastq,4726,0,0,0,0,0,0,0,455,0,0,0,0,746,0,755,0,0,1953,0,238,1177,0,0,41,363,1182,0,0,1050,999,993,993,0,0,0,201,0,814,0,681,31,0,0,0,0,0,0,0,0,0,0,0,0,0,355,0,0,417,184,0,374,226,0,310,0,0,0,0,0,0,0,0,225,0,0,201,0,185,0,179,174,0,0,137,136,0,0,0,0,0,0,0,0,0,0,91,91,0,0,80,0,0,0,46,0,0
DC03_R1_trimmed.fastq,0,8436,0,8180,3910,3348,0,1958,527,0,2218,0,0,0,357,0,2085,0,0,1855,0,0,941,884,529,0,0,0,989,0,0,0,0,0,0,0,0,868,0,0,0,0,0,0,594,0,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,0,0,0,293,275,260,0,0,229,0,0,0,0,198,0,181,0,0,160,0,0,0,0,0,122,0,0,115,0,0,0,0,0,0,88,0,0,0,0,49,0,0,0
DC01_R1_trimmed.fastq,2361,1173,0,0,0,0,3087,691,0,0,0,290,1447,0,85,432,0,0,0,0,636,0,0,599,0,1015,0,0,0,0,0,0,0,0,953,0,706,0,0,0,0,381,0,0,0,157,268,543,0,0,0,0,0,193,0,106,0,0,0,0,194,0,29,0,0,0,0,0,0,0,0,0,0,0,220,217,0,0,0,0,0,0,0,142,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,22
